Timestamp,Event,Event data
2016-05-26 19:36:08,Pre-Purge,0,191126
2016-05-26 19:36:08,Pre-Purge,0,191126
2016-05-26 19:36:08,Pre-Purge,0,192127
2016-05-26 19:36:08,Pre-Purge,0,192127
2016-05-26 19:36:08,Pre-Purge,0,193127
2016-05-26 19:36:08,Pre-Purge,0,193127
2016-05-26 19:36:08,Pre-Purge,0,194128
2016-05-26 19:36:08,Pre-Purge,0,194128
2016-05-26 19:36:08,Pre-Purge,0,195128
2016-05-26 19:36:08,Pre-Purge,0,195128
2016-05-26 19:36:08,Pre-Purge,0,196129
2016-05-26 19:36:08,Pre-Purge,0,196129
2016-05-26 19:36:08,Pre-Purge,0,197130
2016-05-26 19:36:08,Pre-Purge,0,197130
2016-05-26 19:36:08,Pre-Purge,0,198130
2016-05-26 19:36:08,Pre-Purge,0,198130
2016-05-26 19:36:08,Pre-Purge,0,199132
2016-05-26 19:36:08,Pre-Purge,0,199132
2016-05-26 19:36:08,Pre-Purge,0,200132
2016-05-26 19:36:08,Pre-Purge,0,200132
2016-05-26 19:36:08,Pre-Purge,0,201133
2016-05-26 19:36:08,Pre-Purge,0,201133
2016-05-26 19:36:08,Pre-Purge,0,202134
2016-05-26 19:36:08,Pre-Purge,0,202134
2016-05-26 19:36:08,Pre-Purge,0,203135
2016-05-26 19:36:08,Pre-Purge,0,203135
2016-05-26 19:36:08,Pre-Purge,0,204134
2016-05-26 19:36:08,Pre-Purge,0,204134
2016-05-26 19:36:08,Pre-Purge,0,205135
2016-05-26 19:36:08,Pre-Purge,0,206136
2016-05-26 19:36:08,Pre-Purge,0,206136
2016-05-26 19:36:08,Pre-Purge,0,207136
2016-05-26 19:36:08,Pre-Purge,0,207136
2016-05-26 19:36:08,Pre-Purge,0,207136
2016-05-26 19:36:08,Pre-Purge,0,208137
2016-05-26 19:36:08,Pre-Purge,0,209137
2016-05-26 19:36:08,Pre-Purge,0,209137
2016-05-26 19:36:08,Pre-Purge,0,210139
2016-05-26 19:36:08,Pre-Purge,0,210139
2016-05-26 19:36:08,Pre-Purge,0,211140
2016-05-26 19:36:08,Pre-Purge,0,212140
2016-05-26 19:36:08,Pre-Purge,0,212140
2016-05-26 19:36:08,Pre-Purge,0,213140
2016-05-26 19:36:08,Pre-Purge,0,213140
2016-05-26 19:36:08,Pre-Purge,0,213140
2016-05-26 19:36:08,Pre-Purge,0,214141
2016-05-26 19:36:08,Pre-Purge,0,214141
2016-05-26 19:36:08,Pre-Purge,0,215142
2016-05-26 19:36:08,Pre-Purge,0,216142
2016-05-26 19:36:08,Pre-Purge,0,216142
2016-05-26 19:36:08,Pre-Purge,0,217143
2016-05-26 19:36:08,Pre-Purge,0,217143
2016-05-26 19:36:08,Pre-Purge,0,218143
2016-05-26 19:36:08,Pre-Purge,0,218143
2016-05-26 19:36:08,Pre-Purge,0,219144
2016-05-26 19:36:08,Pre-Purge,0,219144
2016-05-26 19:36:08,Pre-Purge,0,220146
2016-05-26 19:36:08,Pre-Purge,0,221146
2016-05-26 19:36:08,Pre-Purge,0,221146
2016-05-26 19:36:08,Pre-Purge,0,222147
2016-05-26 19:36:08,Pre-Purge,0,222147
2016-05-26 19:36:08,Pre-Purge,0,223147
2016-05-26 19:36:08,Pre-Purge,0,223147
2016-05-26 19:36:08,Pre-Purge,0,224148
2016-05-26 19:36:08,Pre-Purge,0,224148
2016-05-26 19:36:08,Pre-Purge,0,225148
2016-05-26 19:36:08,Pre-Purge,0,225148
2016-05-26 19:36:08,Pre-Purge,0,226149
2016-05-26 19:36:08,Pre-Purge,0,226149
2016-05-26 19:36:08,Pre-Purge,0,227149
2016-05-26 19:36:08,Pre-Purge,0,227149
2016-05-26 19:36:08,Pre-Purge,0,228150
2016-05-26 19:36:08,Pre-Purge,0,228150
2016-05-26 19:36:08,Pre-Purge,0,229152
2016-05-26 19:36:08,Pre-Purge,0,229152
2016-05-26 19:36:08,Pre-Purge,0,230152
2016-05-26 19:36:08,Pre-Purge,0,230152
2016-05-26 19:36:08,Pre-Purge,0,231153
2016-05-26 19:36:08,Pre-Purge,0,231153
2016-05-26 19:36:08,Pre-Purge,0,231153
2016-05-26 19:36:08,Pre-Purge,0,232154
2016-05-26 19:36:08,Pre-Purge,0,232154
2016-05-26 19:36:08,Pre-Purge,0,233154
2016-05-26 19:36:08,Pre-Purge,0,233154
2016-05-26 19:36:08,Pre-Purge,0,233154
2016-05-26 19:36:08,Pre-Purge,0,234155
2016-05-26 19:36:08,Pre-Purge,0,234155
2016-05-26 19:36:08,Pre-Purge,0,235155
2016-05-26 19:36:08,Pre-Purge,0,235155
2016-05-26 19:36:08,Pre-Purge,0,235155
2016-05-26 19:36:08,Pre-Purge,0,236156
2016-05-26 19:36:08,Pre-Purge,0,236156
2016-05-26 19:36:08,Pre-Purge,0,237156
2016-05-26 19:36:08,Pre-Purge,0,237156
2016-05-26 19:36:08,Pre-Purge,0,237156
2016-05-26 19:36:08,Pre-Purge,0,238158
2016-05-26 19:36:08,Pre-Purge,0,239158
2016-05-26 19:36:08,Pre-Purge,0,239158
2016-05-26 19:36:08,Pre-Purge,0,239158
2016-05-26 19:36:08,Pre-Purge,0,240159
2016-05-26 19:36:08,Pre-Purge,0,240159
2016-05-26 19:36:08,Pre-Purge,0,241159
2016-05-26 19:36:08,Pre-Purge,0,241159
2016-05-26 19:36:08,Pre-Purge,0,242160
