Timestamp,Event,Event Data
16:18:02,306 2016-05-26,Start Pre-Purge,3,20 
16:18:02,406 2016-05-26,Start Pre-Purge,3,30 
16:18:02,506 2016-05-26,Start Pre-Purge,3,40 
16:18:02,606 2016-05-26,Start Pre-Purge,3,50 
16:18:02,706 2016-05-26,Start Pre-Purge,3,60 
16:18:02,806 2016-05-26,Start Pre-Purge,3,70 
16:18:02,906 2016-05-26,Start Pre-Purge,3,80 
16:18:03,007 2016-05-26,Start Pre-Purge,3,90 
16:18:03,108 2016-05-26,Start Pre-Purge,4,00 
16:18:03,209 2016-05-26,Start Pre-Purge,4,10 
16:18:03,309 2016-05-26,Start Pre-Purge,4,21 
16:18:03,409 2016-05-26,Start Pre-Purge,4,30 
16:18:03,509 2016-05-26,Start Pre-Purge,4,40 
16:18:03,609 2016-05-26,Start Pre-Purge,4,51 
16:18:03,709 2016-05-26,Start Pre-Purge,4,61 
16:18:03,809 2016-05-26,Start Pre-Purge,4,70 
16:18:03,909 2016-05-26,Start Pre-Purge,4,80 
16:18:04,009 2016-05-26,Start Pre-Purge,4,91 
16:18:04,109 2016-05-26,Start Pre-Purge,5,01 
16:18:04,210 2016-05-26,Start Pre-Purge,5,11 
16:18:04,310 2016-05-26,Start Pre-Purge,5,21 
16:18:04,410 2016-05-26,Start Pre-Purge,5,31 
16:18:04,510 2016-05-26,Start Pre-Purge,5,41 
16:18:04,610 2016-05-26,Start Pre-Purge,5,51 
16:18:04,710 2016-05-26,Start Pre-Purge,5,61 
16:18:04,810 2016-05-26,Start Pre-Purge,5,71 
16:18:04,910 2016-05-26,Start Pre-Purge,5,81 
16:18:05,010 2016-05-26,Start Pre-Purge,5,91 
16:18:05,111 2016-05-26,Start Pre-Purge,6,01 
16:18:05,211 2016-05-26,Start Pre-Purge,6,11 
16:18:05,312 2016-05-26,Start Pre-Purge,6,21 
16:18:05,411 2016-05-26,Start Pre-Purge,6,31 
16:18:05,511 2016-05-26,Start Pre-Purge,6,41 
16:18:05,611 2016-05-26,Start Pre-Purge,6,51 
16:18:05,711 2016-05-26,Start Pre-Purge,6,61 
16:18:05,811 2016-05-26,Start Pre-Purge,6,71 
16:18:05,911 2016-05-26,Start Pre-Purge,6,81 
16:18:06,011 2016-05-26,Start Pre-Purge,6,91 
16:18:06,111 2016-05-26,Start Pre-Purge,7,01 
